state,sex,age,educ,hisp,racecmb,relig,income,hh1,party,partyln,ideo,q2,q1,q55,q56
12,2,79,3,2,1,1,4,1,2,,5,2,1,3,1
42,1,26,5,2,4,2,8,3,2,,4,2,2,3,1
41,1,52,8,2,1,12,7,1,2,,5,2,1,4,1
29,2,70,3,2,2,1,10,2,2,,4,1,9,3,3
20,1,81,6,2,1,1,8,1,1,,1,2,2,3,9
41,2,90,3,2,1,12,1,1,1,,3,2,2,4,9
42,1,72,3,2,2,2,2,1,2,,2,1,1,3,1
12,1,56,6,2,1,12,6,1,3,2,3,2,2,4,2
9,1,62,6,2,1,9,5,2,1,,3,2,2,3,3
53,1,71,3,2,1,12,5,2,2,,4,1,1,3,3
16,2,72,3,2,1,3,5,2,1,,1,2,2,4,1
4,1,88,3,2,1,10,8,2,3,1,1,2,2,4,9
17,2,34,8,2,1,1,9,5,2,,4,1,1,3,3
36,1,76,6,2,1,10,3,1,2,,4,2,1,3,1
48,2,72,5,1,1,1,7,2,1,,2,2,2,4,1
36,2,80,4,2,1,2,10,2,1,,2,2,2,4,1
39,1,57,4,2,1,2,10,3,1,,9,2,2,4,9
18,1,61,4,2,1,1,3,2,3,2,3,2,1,3,1
6,2,66,6,2,1,1,7,1,1,,2,2,2,3,1
42,1,57,8,2,1,1,8,3,1,,1,1,2,2,3
44,1,72,4,2,2,1,5,1,2,,3,1,1,3,1
39,2,62,3,2,2,1,5,2,2,,9,2,1,3,1
41,1,71,8,2,1,1,8,2,1,,3,2,2,3,1
22,2,76,5,2,1,1,10,2,1,,2,2,2,4,3
48,2,62,4,2,1,1,3,2,3,1,1,2,2,4,3
37,2,23,6,2,2,12,1,8,2,,9,2,1,4,3
19,2,66,4,2,1,1,6,2,2,,3,2,9,3,2
6,2,58,6,1,5,2,10,6,2,,2,1,1,3,1
19,2,62,8,2,1,10,7,2,2,,3,2,1,2,9
13,2,71,3,2,1,12,6,2,2,,4,1,1,1,3
48,2,89,3,2,1,1,1,1,2,,3,2,9,4,3
40,1,64,3,2,5,1,4,4,1,,2,2,2,4,3
54,1,45,4,2,1,1,6,4,2,,4,2,2,3,1
48,1,25,4,2,1,1,3,8,3,1,3,2,2,4,3
34,1,32,6,2,1,2,9,2,1,,3,2,2,4,3
5,2,36,6,2,1,12,9,5,3,1,3,2,2,4,3
36,2,32,4,2,1,5,6,6,2,,9,1,1,3,3
47,1,70,3,2,1,1,3,2,1,,1,2,2,4,2
12,2,29,6,2,1,12,3,4,3,2,3,2,1,4,3
28,2,50,6,2,2,1,6,4,2,,2,2,1,3,3
22,2,56,8,2,1,1,6,2,1,,2,2,2,4,2
28,1,59,3,2,1,1,1,1,1,,1,2,2,4,3
39,1,91,3,2,1,1,4,6,1,,2,2,2,3,3
5,2,21,5,2,1,13,1,3,3,1,3,2,9,3,3
48,2,73,6,2,1,1,4,1,1,,2,2,2,4,2
36,2,53,6,2,1,12,3,1,3,1,1,2,2,4,2
40,1,60,4,2,1,1,6,2,3,2,4,2,2,4,1
18,1,59,5,2,5,1,4,2,3,1,2,2,2,4,1
18,2,66,4,2,1,2,3,2,3,2,3,2,1,3,3
25,2,83,6,2,1,2,4,2,3,1,3,2,2,3,3
12,2,39,8,2,2,1,7,4,2,,3,1,1,3,1
37,1,54,3,2,2,1,2,3,9,9,2,1,1,3,1
13,2,24,6,2,1,1,5,3,1,,2,2,2,4,3
6,2,69,3,2,1,2,4,1,3,1,2,2,2,3,3
6,1,57,8,2,9,14,6,4,2,,4,9,1,3,1
31,2,55,6,2,1,2,7,2,3,9,3,2,9,3,3
42,2,53,8,2,1,2,8,4,3,2,4,2,1,3,3
34,2,54,3,2,1,2,8,4,3,1,2,2,2,3,3
39,2,52,6,2,1,13,8,2,1,,2,2,2,4,1
42,2,53,8,2,1,1,9,4,2,,5,2,1,4,3
42,2,99,6,2,1,2,10,2,1,,2,1,2,3,1
12,1,62,4,2,1,1,5,2,3,2,3,2,1,3,3
9,2,77,4,2,1,1,2,1,4,9,9,2,1,3,3
42,2,18,3,2,1,12,1,8,3,1,2,2,2,4,3
23,2,49,6,2,1,1,6,4,1,,1,2,2,4,9
36,1,52,3,2,1,12,10,4,9,1,2,2,2,3,9
25,2,50,6,2,1,2,8,4,1,,2,2,2,4,3
37,1,99,8,2,1,1,10,2,1,,2,2,2,4,9
34,2,18,4,2,1,2,9,6,1,,2,1,1,4,3
39,2,59,3,2,1,1,2,1,1,,3,1,1,4,3
12,1,49,6,2,1,13,9,3,3,1,3,2,2,3,1
45,2,73,4,2,1,1,3,1,2,,3,2,1,3,3
34,1,43,3,2,1,5,9,2,1,,5,2,2,4,2
13,2,53,3,2,2,1,5,3,2,,3,1,1,2,3
34,1,28,6,2,2,1,8,2,2,,4,1,1,3,1
21,2,58,8,2,1,2,8,2,2,,2,2,2,3,2
51,1,71,4,2,1,1,10,2,1,,3,2,2,4,1
42,2,62,8,2,1,2,6,3,1,,2,2,2,3,3
42,1,56,6,2,1,2,9,3,1,,2,2,2,2,3
19,1,44,8,2,1,1,8,3,3,1,2,2,2,4,3
39,2,90,7,2,1,1,2,1,3,2,4,1,1,3,1
46,2,78,6,2,1,11,4,1,1,,2,2,2,4,9
30,1,63,3,2,1,2,10,2,3,2,3,9,1,3,3
41,2,62,3,2,1,1,3,2,3,1,2,2,2,3,2
46,1,56,3,2,1,1,4,1,1,,2,1,1,3,1
53,2,53,4,2,1,10,1,1,2,,5,1,1,2,1
48,2,37,6,2,1,13,8,5,1,,2,2,2,2,3
29,2,90,3,2,1,2,10,1,2,,3,2,9,2,9
17,2,62,3,2,1,2,4,1,2,,3,2,9,3,3
1,2,27,3,2,1,12,2,4,3,2,5,2,1,4,1
5,2,79,3,2,1,2,1,3,3,1,3,2,2,3,1
19,2,65,4,2,2,1,6,2,2,,2,2,1,4,1
1,2,22,6,2,1,13,4,1,1,,1,2,2,4,3
1,1,52,3,2,1,1,7,3,1,,2,2,2,4,1
22,1,21,3,2,4,1,6,4,2,,2,2,1,3,1
19,2,66,4,2,1,2,4,1,3,9,3,2,2,4,9
1,1,65,5,2,1,10,7,2,3,2,2,2,1,3,9
47,2,30,8,2,2,1,4,2,9,9,5,1,1,3,3
31,2,42,8,2,1,1,7,4,1,,2,2,2,4,1
29,2,43,6,2,1,1,6,4,1,,2,1,1,3,3
27,1,27,1,2,9,12,4,8,3,9,3,2,2,4,3
48,2,55,5,2,1,1,6,2,1,,3,2,2,3,1
53,2,27,5,1,5,12,4,1,2,,4,2,9,3,3
4,1,61,8,2,1,2,7,2,3,2,3,2,1,4,2
25,2,52,5,2,1,12,7,2,3,1,3,2,1,3,3
6,2,60,6,2,1,2,9,5,2,,3,2,2,3,1
13,2,53,8,2,1,1,10,4,3,1,2,2,2,4,2
29,1,56,6,2,1,2,7,2,1,,1,2,2,3,9
48,2,28,8,2,1,1,9,1,1,,3,2,2,3,3
53,2,28,5,2,1,1,6,5,3,1,3,2,2,4,3
6,1,18,3,1,3,2,4,4,1,,2,1,2,4,1
6,2,65,5,2,4,2,9,2,1,,1,2,2,4,9
32,1,64,3,2,1,12,4,1,3,2,3,2,1,4,3
6,1,66,4,2,1,1,6,2,1,,1,2,2,3,9
6,1,18,3,2,1,11,6,5,3,1,3,1,1,1,3
6,1,51,4,2,2,12,9,2,2,,4,2,1,4,1
17,2,83,4,2,1,10,4,1,2,,4,2,1,3,1
6,2,63,6,2,1,1,7,1,2,,4,9,1,3,3
35,1,45,6,2,1,2,8,2,2,,2,2,1,4,3
6,2,38,1,1,5,2,3,4,2,,2,2,1,3,1
6,2,46,3,1,5,2,7,4,3,2,5,1,1,3,3
42,2,80,8,2,2,1,9,1,2,,3,1,1,2,1
37,2,45,2,2,1,12,4,2,3,1,5,2,2,4,2
45,2,23,2,2,1,1,3,4,3,9,9,2,2,3,3
42,1,73,8,2,1,1,7,2,1,,2,2,2,4,3
34,2,56,8,2,1,1,7,1,2,,2,2,1,4,3
36,2,63,8,2,1,9,5,1,2,,4,2,1,3,9
34,2,69,8,2,1,5,3,1,3,2,3,2,2,3,3
34,1,70,3,2,1,2,5,2,3,1,1,2,2,4,1
12,2,52,5,2,1,1,6,3,3,9,2,2,1,3,1
21,1,70,8,2,1,1,9,2,1,,3,2,1,3,1
34,1,26,6,2,1,9,7,2,3,2,4,1,1,4,1
34,2,43,5,2,1,2,8,4,3,1,2,2,2,3,3
12,2,51,5,2,1,1,6,2,1,,2,2,2,4,3
36,2,99,8,2,1,5,10,1,2,,3,2,1,3,3
36,1,57,5,2,1,2,7,2,1,,2,2,2,4,3
24,2,55,4,2,1,13,7,4,1,,1,2,2,4,3
37,2,26,8,2,1,1,5,3,1,,3,2,2,4,3
25,2,20,4,1,1,99,10,6,9,9,9,1,2,1,3
42,1,56,5,2,1,2,6,1,1,,2,2,2,3,1
12,2,80,8,2,1,2,10,2,1,,2,2,2,3,1
26,2,75,8,2,2,1,10,1,2,,3,1,1,3,3
36,2,72,3,2,5,11,10,1,3,1,2,2,2,3,3
24,1,42,6,2,2,13,8,4,3,2,3,1,1,2,1
26,2,40,5,2,1,99,7,2,3,1,2,2,2,4,1
34,2,32,8,2,1,1,9,3,1,,3,2,2,3,3
17,2,58,6,2,2,1,3,3,2,,2,2,1,3,9
29,2,22,5,2,1,1,1,4,3,2,5,2,1,3,3
21,1,18,3,2,1,1,10,5,3,2,4,9,1,3,1
17,1,37,3,2,1,13,7,4,2,,2,2,1,4,3
42,2,26,6,2,1,2,5,3,2,,2,2,2,2,3
21,2,19,4,2,1,1,8,6,3,1,3,1,1,2,1
4,2,41,4,2,1,12,8,5,3,1,3,2,2,3,3
53,2,77,3,2,1,2,3,2,2,,2,2,9,4,3
6,1,35,6,2,1,1,8,2,5,2,3,1,1,3,1
6,2,99,8,2,1,13,8,2,2,,4,1,1,3,3
27,1,64,6,2,1,1,4,1,3,2,3,1,1,3,3
1,2,58,5,2,1,1,4,2,2,,4,2,1,3,1
55,2,47,8,2,1,2,8,3,1,,2,1,2,3,1
28,1,62,3,2,1,12,2,1,2,,3,2,1,4,9
48,2,63,8,2,1,1,8,2,2,,5,2,1,3,1
5,2,19,4,2,1,1,2,4,1,,1,2,2,4,3
17,1,57,6,2,9,2,7,1,3,9,9,2,1,3,3
55,2,21,4,2,1,2,7,3,3,2,3,1,1,4,3
16,1,39,3,2,1,12,6,4,3,1,2,9,2,4,9
16,2,74,6,2,1,1,10,2,1,,1,2,2,4,1
21,1,22,3,2,1,1,2,3,2,,3,2,1,4,3
13,1,27,3,2,2,12,3,3,2,,9,1,1,3,3
12,2,19,5,2,1,12,7,3,2,,3,1,1,3,3
51,1,19,3,1,4,1,3,3,1,,3,2,2,4,3
47,2,73,3,2,1,1,4,1,1,,2,2,2,3,1
39,1,38,3,2,1,1,9,4,1,,2,1,2,3,1
25,2,53,2,1,5,2,10,3,2,,2,1,1,4,1
34,2,29,8,2,1,5,2,4,1,,1,2,2,4,1
34,1,49,6,2,1,2,9,5,1,,3,1,2,3,3
26,1,64,4,2,1,12,6,1,3,9,2,2,9,3,3
21,1,48,3,2,2,2,6,4,2,,4,2,1,3,3
33,2,67,6,2,1,2,7,2,3,2,4,2,1,4,2
36,2,27,4,2,1,5,3,6,1,,2,1,2,3,3
44,2,65,8,2,1,2,9,2,3,2,3,2,1,3,1
36,1,70,3,2,1,2,3,2,3,2,2,2,1,4,1
12,1,76,4,1,1,12,3,2,2,,4,2,1,3,1
12,2,64,8,2,1,2,10,2,1,,2,2,2,3,1
54,2,57,7,2,1,1,8,2,2,,4,1,1,3,3
12,1,64,5,2,1,1,10,2,3,9,9,2,2,3,3
13,1,62,6,2,1,1,9,2,1,,2,2,2,3,2
51,1,46,6,2,4,2,10,8,3,1,3,1,2,3,3
25,1,44,6,2,1,1,6,5,3,1,2,2,2,3,2
13,1,42,5,2,1,1,3,4,3,9,3,2,2,3,3
24,2,54,4,2,1,1,7,5,1,,2,2,2,4,3
12,2,61,3,2,2,1,5,2,2,,2,1,1,4,3
45,1,61,6,2,1,1,9,1,1,,1,2,2,4,3
51,1,75,3,2,1,1,10,2,3,1,3,2,2,4,9
26,2,99,4,2,1,1,7,4,1,,3,2,9,4,3
13,2,55,6,2,2,1,8,4,2,,2,9,1,3,1
13,2,85,3,2,1,1,2,1,3,1,3,2,2,4,3
12,1,67,4,1,1,1,3,3,1,,2,2,2,4,1
24,1,47,8,2,4,2,9,4,3,1,3,2,2,3,2
9,2,45,5,2,1,1,7,3,3,1,2,2,2,3,3
51,1,62,3,2,2,1,2,1,4,9,9,2,1,3,2
13,2,36,3,2,2,1,3,4,2,,3,9,1,3,3
12,2,72,3,2,1,1,5,1,2,,2,1,1,2,1
9,2,68,4,2,1,1,3,2,3,9,3,2,2,3,3
37,2,77,1,2,1,1,3,2,1,,3,9,2,3,3
42,1,37,6,2,1,2,8,2,1,,3,2,2,3,1
12,2,99,5,2,1,1,7,2,3,9,3,1,1,4,3
36,1,48,4,1,5,2,8,2,3,9,1,9,9,4,3
39,2,42,6,2,1,1,8,5,2,,4,1,1,3,1
1,1,71,8,2,1,1,7,3,3,1,3,2,2,4,1
18,1,19,4,2,1,10,3,4,1,,2,2,2,3,3
48,1,19,2,2,2,12,3,4,3,2,3,2,1,2,3
27,2,62,5,2,1,2,5,1,3,2,4,1,1,3,3
22,2,64,3,2,1,1,4,1,2,,3,2,2,4,2
47,1,63,3,2,1,1,10,2,2,,2,1,1,3,3
17,2,68,7,2,1,2,7,4,1,,3,2,2,4,1
27,2,66,7,2,1,1,9,2,2,,5,1,1,3,3
17,1,24,4,2,1,6,2,3,3,2,3,2,2,3,3
47,1,75,5,2,1,1,3,3,3,1,2,2,2,3,9
47,1,18,3,2,1,13,10,9,1,,3,2,2,4,1
31,1,56,3,2,1,1,6,2,3,2,3,2,1,2,3
17,1,81,3,1,1,2,4,2,9,1,2,1,2,4,3
55,2,52,7,2,1,1,8,4,3,1,3,2,2,4,1
23,1,66,6,2,1,1,3,2,1,,2,2,2,4,9
42,2,25,2,2,1,10,2,2,2,,3,2,2,4,3
37,2,28,3,2,2,1,2,4,2,,3,1,1,3,1
18,2,19,4,2,1,1,5,4,3,1,2,2,2,3,3
54,1,67,8,2,1,1,10,2,1,,2,2,2,4,2
39,1,83,6,2,1,2,5,2,2,,3,2,1,4,3
25,1,99,6,2,1,9,10,2,3,9,2,1,1,3,1
37,1,72,6,2,1,1,10,2,1,,2,2,2,3,3
16,1,43,5,2,1,3,8,1,3,1,3,2,2,4,2
54,2,21,5,2,1,1,8,1,3,2,4,2,2,4,3
42,2,62,5,2,1,2,3,2,1,,2,2,2,4,1
34,2,75,3,2,1,2,4,1,2,,2,1,1,3,3
13,1,54,6,2,1,2,4,1,3,1,2,2,2,4,2
18,2,78,3,2,1,1,2,2,1,,3,2,2,4,3
12,1,60,8,2,1,12,8,2,3,9,3,2,1,3,3
27,1,58,6,2,1,12,6,4,3,2,4,1,1,3,3
55,1,53,8,2,1,1,9,4,1,,3,2,2,3,3
47,1,56,8,2,1,1,5,2,1,,2,2,1,3,3
34,1,71,3,2,1,2,5,1,2,,3,1,1,2,1
42,2,56,4,2,1,1,7,1,1,,2,2,1,3,3
55,1,65,3,2,1,1,5,2,4,1,2,2,2,4,3
29,2,82,4,2,1,5,8,2,3,2,3,2,1,3,3
17,2,51,7,2,1,11,9,4,2,,4,1,1,2,9
45,1,67,5,2,1,1,6,1,3,1,3,2,2,4,3
26,1,80,5,2,1,1,8,2,1,,3,2,2,3,1
48,2,18,2,2,2,12,2,5,3,1,4,2,2,4,3
47,2,38,1,2,1,13,1,1,1,,1,2,1,3,3
54,2,40,3,2,1,1,1,2,3,2,5,2,2,4,2
25,2,27,8,2,1,10,7,2,2,,5,2,1,3,1
51,2,58,6,2,1,2,7,6,3,1,2,2,2,4,9
53,1,23,4,2,1,10,3,3,2,,4,1,1,3,1
6,2,20,4,1,5,2,2,3,2,,4,1,9,4,3
45,2,62,3,2,1,1,1,3,3,2,3,2,2,3,3
36,2,82,6,2,1,2,10,1,1,,2,2,2,4,3
6,1,63,4,2,1,12,3,3,1,,2,2,2,4,3
36,1,85,8,2,1,1,6,1,1,,2,1,2,2,1
39,2,56,6,2,1,13,7,3,1,,2,2,2,4,1
41,1,90,3,2,1,1,3,2,2,,3,2,2,4,2
6,1,70,8,1,5,1,7,3,1,,1,2,2,3,2
6,1,71,6,2,1,5,8,4,3,2,3,2,2,3,3
12,2,60,2,2,1,1,3,3,3,9,2,1,1,4,2
6,2,65,5,2,1,1,3,2,1,,2,2,2,3,1
6,1,62,6,2,1,13,8,2,3,1,1,2,2,4,3
6,2,49,6,2,1,3,7,4,2,,5,2,2,3,3
6,2,60,8,2,1,1,10,3,1,,1,2,2,4,1
6,1,26,6,1,5,2,6,4,2,,4,2,2,4,9
23,1,58,7,2,1,7,9,2,2,,4,2,1,3,3
35,2,58,5,2,1,1,8,2,1,,2,2,2,4,1
16,2,20,3,1,3,12,2,5,2,,4,2,9,4,3
8,2,43,3,2,1,2,9,4,3,1,4,2,2,4,2
35,1,70,4,2,1,10,3,1,3,2,5,2,1,3,3
20,2,64,4,2,1,1,7,2,2,,4,2,1,3,1
29,2,25,6,2,2,13,5,3,1,,1,9,1,4,2
48,1,74,8,2,1,1,6,2,1,,1,2,2,4,1
29,1,48,3,2,1,13,2,2,3,9,3,2,9,3,3
38,1,65,8,2,1,1,7,3,2,,4,1,1,3,3
1,2,53,4,2,1,1,7,2,3,1,2,2,2,4,1
42,2,53,3,2,1,7,7,4,3,1,3,2,2,3,3
22,1,44,8,2,1,2,6,1,2,,1,2,2,3,3
47,1,27,3,2,1,12,3,1,3,2,2,1,2,4,1
55,1,54,3,2,1,12,2,2,3,1,3,2,2,3,3
37,1,42,6,2,1,1,8,4,2,,3,2,1,4,1
13,1,48,6,2,1,1,10,4,1,,2,2,2,4,3
8,1,43,6,2,1,13,9,5,3,1,3,2,2,3,3
32,1,22,4,2,1,7,3,2,1,,2,1,1,2,1
6,1,62,6,2,1,1,9,2,1,,2,2,2,3,1
41,2,86,1,2,1,2,3,2,2,,3,1,1,2,3
30,2,22,3,2,1,12,2,2,2,,5,2,9,4,2
36,1,65,6,2,1,12,3,1,3,9,2,2,2,3,3
12,1,65,8,2,1,1,7,2,3,1,2,2,2,3,1
26,1,56,4,2,1,2,4,2,3,2,2,2,2,4,3
45,2,53,8,2,1,1,10,3,1,,2,2,2,4,1
26,1,90,8,2,1,14,6,2,4,2,3,1,1,2,1
24,2,80,7,2,2,1,3,4,2,,3,2,1,3,1
25,2,90,6,2,1,1,6,1,1,,3,2,2,3,3
34,1,66,8,2,1,12,9,2,3,9,3,9,9,3,1
45,2,83,3,2,1,1,10,2,1,,1,2,2,9,1
37,2,28,6,2,1,1,4,3,1,,2,2,2,3,3
34,2,62,3,2,1,2,1,1,3,1,4,2,2,4,3
54,2,76,5,2,1,13,3,2,2,,9,1,1,2,3
34,1,75,8,2,1,1,10,2,3,1,9,2,2,4,9
37,1,58,5,1,9,12,10,2,3,2,3,2,9,4,3
24,2,66,8,2,1,14,7,2,2,,4,2,1,3,1
36,2,99,3,2,1,2,10,3,4,2,3,2,1,4,1
25,2,71,4,2,1,2,5,2,1,,1,2,2,4,9
26,2,74,6,2,1,1,10,1,1,,3,2,2,3,3
51,1,50,8,2,9,12,8,2,2,,3,1,1,3,1
36,1,53,8,2,1,2,9,3,5,9,1,2,2,3,3
10,1,52,3,2,2,1,2,5,2,,3,2,1,3,9
13,1,79,4,2,1,2,6,1,1,,2,2,2,3,2
36,2,71,6,2,1,13,2,2,2,,4,2,1,3,3
37,1,56,5,1,5,2,6,1,3,2,2,2,1,2,1
42,2,41,6,2,1,13,4,3,1,,4,2,2,3,3
12,2,60,6,2,2,1,9,2,2,,2,2,1,3,3
39,2,81,3,2,1,1,10,1,1,,1,2,2,4,3
36,2,75,8,2,1,2,10,2,2,,3,9,1,3,1
42,1,29,5,2,1,12,4,3,1,,2,1,2,3,3
26,2,65,4,2,2,1,10,1,2,,2,9,1,2,3
24,1,56,3,2,1,10,4,2,2,,4,2,1,3,3
42,1,44,5,2,1,1,6,3,1,,3,2,2,3,2
19,2,58,4,2,1,1,6,5,3,2,3,2,1,3,9
48,2,34,3,2,2,1,2,6,2,,2,2,1,4,3
48,2,54,6,2,1,1,9,2,1,,2,1,2,3,3
47,2,74,9,2,1,1,10,1,1,,1,2,2,3,1
55,2,60,8,2,1,12,9,2,2,,5,2,1,3,1
34,2,35,7,2,1,2,8,4,3,9,2,2,2,4,1
31,1,81,3,2,1,12,10,3,1,,9,2,2,4,1
55,1,63,3,2,1,12,1,1,3,9,9,2,1,4,2
36,1,60,4,2,1,1,5,1,3,9,3,2,2,4,3
5,2,25,5,2,1,13,2,7,3,1,3,2,2,3,3
51,1,50,6,2,1,1,9,5,3,1,2,2,2,3,2
51,2,65,3,2,1,1,5,2,2,,2,2,1,3,3
42,2,70,6,2,1,5,6,1,3,1,3,2,2,4,3
5,2,54,3,2,1,1,10,2,2,,2,2,2,3,1
18,2,34,5,2,1,2,9,4,2,,3,2,1,4,3
51,2,70,4,2,1,2,6,2,3,2,4,2,1,3,9
48,1,52,5,2,1,1,10,2,3,1,2,2,2,4,3
48,2,61,3,2,1,12,5,1,3,2,5,1,9,4,3
5,2,65,5,2,1,1,4,2,3,1,2,2,2,4,9
25,2,79,4,2,1,1,10,2,3,1,2,2,2,4,3
19,1,58,8,2,1,2,6,2,2,,3,1,1,3,3
34,1,73,8,2,1,5,6,1,3,1,1,1,1,4,3
54,2,74,2,2,9,12,5,2,2,,3,2,9,3,3
48,2,66,8,2,1,1,8,2,3,1,3,2,2,3,1
55,1,47,6,2,1,1,6,3,2,,3,2,1,4,1
48,1,20,4,2,1,1,9,3,3,1,2,1,1,3,3
48,2,39,3,1,5,13,4,5,1,,2,2,9,4,1
48,1,52,6,2,1,5,6,3,3,1,3,2,2,4,3
27,1,21,4,2,1,2,6,3,1,,3,2,2,4,3
29,2,48,3,2,1,2,5,2,2,,3,1,1,3,1
31,1,43,5,2,1,2,8,5,1,,2,2,2,3,3
40,1,58,3,2,4,1,4,2,2,,3,9,1,3,1
48,2,73,3,2,1,1,2,2,4,9,9,2,2,3,3
20,2,77,2,2,1,1,10,3,2,,9,2,9,3,3
27,1,62,8,2,1,1,5,2,2,,3,2,1,4,3
28,2,61,4,2,1,1,4,4,1,,2,2,2,4,3
18,1,59,4,2,1,1,8,3,4,2,2,1,9,4,3
35,1,19,3,2,5,7,10,3,3,2,4,2,1,4,2
49,1,65,6,2,1,3,7,2,1,,2,2,2,3,1
49,2,40,6,2,1,3,8,6,2,,4,2,1,3,1
42,2,63,6,2,1,1,10,2,3,2,3,2,1,3,3
13,2,51,8,2,1,2,1,1,3,9,3,2,9,4,3
51,2,33,7,2,2,1,4,3,2,,3,1,1,2,9
47,2,44,3,2,1,2,2,2,1,,3,2,2,4,3
28,2,39,3,2,1,1,10,4,9,9,3,2,2,3,3
42,2,85,6,2,1,2,1,1,1,,3,2,2,4,1
35,2,57,5,2,1,1,6,1,1,,1,2,2,4,1
17,1,58,4,2,1,12,6,5,3,2,5,2,1,3,3
1,1,44,3,2,4,13,5,4,3,1,2,2,2,4,3
20,1,59,6,2,1,1,9,3,1,,2,2,2,4,3
20,1,70,3,2,1,2,2,2,2,,4,9,1,3,3
25,1,58,6,2,1,2,8,1,1,,2,2,2,4,9
37,1,64,8,1,1,2,10,2,3,1,2,2,2,4,9
49,2,39,6,1,1,3,7,6,3,1,1,2,2,2,1
12,2,80,3,2,1,1,10,1,1,,3,9,1,2,3
37,1,40,7,2,1,1,10,2,1,,1,2,2,4,1
42,1,69,4,2,1,2,1,2,1,,1,2,2,3,1
42,1,78,3,2,1,1,3,2,2,,1,2,1,3,3
42,2,88,6,2,1,1,10,1,1,,3,2,2,3,3
12,2,64,4,2,1,2,4,2,2,,4,2,2,3,3
29,2,57,6,2,1,1,10,1,3,9,4,2,1,3,1
36,2,52,4,2,1,2,7,2,3,2,3,1,1,3,3
22,2,61,6,2,2,1,5,3,2,,3,2,2,4,1
22,2,57,3,2,1,2,7,3,3,1,3,2,2,4,3
34,2,24,8,2,3,8,7,4,2,,3,1,1,3,3
12,2,22,4,2,2,1,1,6,3,2,3,2,1,4,1
51,1,22,3,2,1,13,5,5,3,1,3,2,2,4,9
42,2,62,4,2,1,1,6,1,3,1,3,2,2,3,1
39,1,45,6,2,1,2,8,5,1,,3,2,2,4,1
45,1,18,4,2,1,12,7,2,2,,4,2,1,4,3
42,2,60,6,2,1,1,6,2,1,,2,2,2,3,3
47,2,64,5,2,1,2,6,2,1,,2,2,2,4,3
36,2,67,3,2,1,2,4,2,2,,3,2,1,2,1
37,2,72,5,2,1,1,2,1,1,,2,1,1,2,1
13,2,27,6,2,1,1,6,2,1,,1,2,2,3,9
12,2,59,8,2,1,2,8,2,2,,4,2,1,4,3
18,2,59,4,2,1,2,9,2,1,,2,2,2,4,9
33,2,54,3,2,1,1,10,1,3,2,3,2,2,3,3
18,1,51,3,2,1,12,5,4,3,1,3,2,2,4,2
21,2,36,5,2,2,12,4,5,2,,3,2,1,3,3
13,2,45,2,2,1,1,3,4,2,,3,1,1,3,1
40,2,63,6,2,1,1,5,2,2,,5,2,1,3,3
41,1,65,4,2,1,1,4,2,1,,2,2,2,4,1
41,2,76,4,2,1,1,5,2,1,,1,2,2,4,2
4,1,50,8,1,4,11,10,3,3,1,1,2,2,4,1
27,1,59,5,2,1,12,1,1,3,2,4,2,1,3,3
49,1,54,4,2,1,3,8,2,2,,3,2,1,3,3
6,1,68,4,2,2,1,4,1,2,,4,1,1,3,3
6,1,72,4,2,1,1,8,2,1,,2,2,2,4,9
6,2,25,4,2,3,6,4,4,9,9,4,2,1,4,3
6,2,19,4,2,3,12,4,2,2,,4,2,1,3,3
6,2,70,6,2,2,1,7,2,2,,3,2,1,4,1
6,1,38,3,1,5,2,5,7,1,,3,1,1,3,3
53,1,49,4,2,1,12,10,5,2,,4,2,1,4,1
53,2,52,6,2,1,1,8,2,2,,3,2,1,4,3
6,2,29,3,1,5,2,10,5,2,,3,1,1,2,3
6,2,20,5,1,5,11,4,4,2,,4,1,1,3,2
17,2,47,4,2,1,2,7,3,3,1,3,2,1,3,3
27,2,48,6,2,1,1,8,4,2,,4,2,1,3,1
18,2,75,8,2,4,1,6,2,3,2,3,1,1,3,1
17,2,64,4,2,2,12,10,1,2,,4,2,1,4,3
27,1,99,9,9,9,13,10,2,1,,3,2,2,3,3
17,2,67,6,2,1,2,5,1,3,1,2,2,1,2,3
27,2,21,4,2,1,2,8,3,2,,4,1,1,2,1
48,2,43,8,2,4,2,8,4,2,,4,1,1,3,1
20,2,56,3,2,1,2,6,2,1,,1,2,2,4,2
8,1,56,6,2,1,2,8,3,1,,3,1,1,3,1
35,1,76,8,2,1,1,7,2,1,,2,2,2,4,3
4,2,67,3,1,9,2,3,3,3,2,5,2,1,4,3
6,1,65,4,2,1,9,9,2,3,2,5,2,1,4,1
6,2,80,1,1,1,2,10,4,2,,2,2,9,3,1
6,2,42,4,1,1,2,10,4,1,,4,2,2,2,1
6,2,61,8,2,5,10,7,4,2,,4,1,1,3,1
53,2,60,4,2,1,1,6,2,2,,4,2,1,3,1
49,2,41,8,2,1,3,9,7,1,,2,1,2,2,1
6,2,60,7,2,1,12,7,1,3,1,3,2,2,3,3
6,2,28,3,1,5,13,2,4,3,2,3,9,2,4,3
6,2,58,6,2,1,1,3,1,3,9,4,2,2,4,3
6,2,21,6,1,1,9,4,2,2,,5,2,1,4,3
53,2,69,7,2,1,13,4,2,3,1,1,2,2,4,2
6,1,54,8,2,1,4,9,4,1,,2,2,2,4,2
16,1,59,6,2,1,2,8,1,3,2,3,2,1,3,3
